06/19/2024 08:51:42 PM, 06/19/2024 08:51:42 PM, ini, juego1, Team A, Pepito
06/19/2024 08:54:49 PM, 06/19/2024 08:54:49 PM, ini, juego1, Team A, Pepito, NULL
06/19/2024 09:08:10 PM, 06/19/2024 09:08:10 PM, ini, juego1, Inicio-Juego, Team B, Claudio
06/19/2024 09:08:10 PM, 06/19/2024 09:08:10 PM, ini, juego1, Crea-Jugador, Team B, Claudio
06/19/2024 09:08:15 PM, 06/19/2024 09:08:15 PM, fin, juego1, Crea-Jugador, Team B, Claudio
06/19/2024 09:08:41 PM, 06/19/2024 09:08:41 PM, ini, juego1, Inicio-Juego, Team B, Francisco
06/19/2024 09:08:41 PM, 06/19/2024 09:08:41 PM, ini, juego1, Crea-Jugador, Team B, Francisco
06/19/2024 09:08:45 PM, 06/19/2024 09:08:45 PM, fin, juego1, Crea-Jugador, Team B, Francisco
06/19/2024 09:09:01 PM, 06/19/2024 09:09:01 PM, ini, juego1, Inicio-Juego, Team A, Pepito
06/19/2024 09:09:01 PM, 06/19/2024 09:09:01 PM, ini, juego1, Crea-Jugador, Team A, Pepito
06/19/2024 09:09:05 PM, 06/19/2024 09:09:05 PM, fin, juego1, Crea-Jugador, Team A, Pepito
06/19/2024 09:09:07 PM, 06/19/2024 09:09:07 PM, ini, juego1, Inicio-Partida, Team B, Claudio
06/19/2024 09:09:07 PM, 06/19/2024 09:09:07 PM, ini, juego1, Inicio-Partida, Team B, Francisco
06/19/2024 09:09:07 PM, 06/19/2024 09:09:07 PM, ini, juego1, Inicio-Partida, Team A, Pepito
06/19/2024 09:09:07 PM, 06/19/2024 09:09:07 PM, ini, juego1, Lanzar-Dado, Team A, Pepito
06/19/2024 09:09:09 PM, 06/19/2024 09:09:09 PM, ini, juego1, Lanzar-Dado, Team B, Claudio
06/19/2024 09:09:12 PM, 06/19/2024 09:09:12 PM, ini, juego1, Lanzar-Dado, Team A, Pepito
06/19/2024 09:09:14 PM, 06/19/2024 09:09:14 PM, ini, juego1, Lanzar-Dado, Team B, Francisco
06/19/2024 09:09:16 PM, 06/19/2024 09:09:16 PM, ini, juego1, Lanzar-Dado, Team A, Pepito
06/19/2024 09:09:18 PM, 06/19/2024 09:09:18 PM, ini, juego1, Lanzar-Dado, Team B, Claudio
06/19/2024 09:09:20 PM, 06/19/2024 09:09:20 PM, ini, juego1, Lanzar-Dado, Team A, Pepito
06/19/2024 09:12:35 PM, 06/19/2024 09:12:35 PM, ini, juego1, Inicio-Juego, Team B, Francisco
06/19/2024 09:12:35 PM, 06/19/2024 09:12:35 PM, ini, juego1, Crea-Jugador, Team B, Francisco
06/19/2024 09:13:55 PM, 06/19/2024 09:13:55 PM, ini, juego1, Inicio-Juego, Team B, Francisco, NULL
06/19/2024 09:13:55 PM, 06/19/2024 09:13:55 PM, ini, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:13:59 PM, 06/19/2024 09:13:59 PM, fin, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:14:10 PM, 06/19/2024 09:14:10 PM, ini, juego1, Inicio-Juego, Team B, Claudio, NULL
06/19/2024 09:14:10 PM, 06/19/2024 09:14:10 PM, ini, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:14:14 PM, 06/19/2024 09:14:14 PM, fin, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:14:16 PM, 06/19/2024 09:14:16 PM, ini, juego1, Inicio-Juego, Team A, Pepito, NULL
06/19/2024 09:14:16 PM, 06/19/2024 09:14:16 PM, ini, juego1, Crea-Jugador, Team A, Pepito, NULL
06/19/2024 09:14:20 PM, 06/19/2024 09:14:20 PM, fin, juego1, Crea-Jugador, Team A, Pepito, NULL
06/19/2024 09:14:22 PM, 06/19/2024 09:14:22 PM, ini, juego1, Inicio-Partida, Team B, Francisco, NULL
06/19/2024 09:14:22 PM, 06/19/2024 09:14:22 PM, ini, juego1, Inicio-Partida, Team B, Claudio, NULL
06/19/2024 09:14:23 PM, 06/19/2024 09:14:23 PM, ini, juego1, Inicio-Partida, Team A, Pepito, NULL
06/19/2024 09:14:23 PM, 06/19/2024 09:14:23 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:14:25 PM, 06/19/2024 09:14:25 PM, ini, juego1, Lanzar-Dado, Team B, Francisco, NULL
06/19/2024 09:14:27 PM, 06/19/2024 09:14:27 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:45:27 PM, 06/19/2024 09:45:27 PM, ini, juego1, Inicio-Juego, Team B, Francisco, NULL
06/19/2024 09:45:27 PM, 06/19/2024 09:45:27 PM, ini, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:45:28 PM, 06/19/2024 09:45:28 PM, ini, juego1, Inicio-Juego, Team B, Claudio, NULL
06/19/2024 09:45:28 PM, 06/19/2024 09:45:28 PM, ini, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:45:31 PM, 06/19/2024 09:45:31 PM, fin, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:45:32 PM, 06/19/2024 09:45:32 PM, fin, juego1, Crea-Jugador, Team B, Claudio, NULL
